complex_id	complex_name	organism	pmid	cell_line	purification_methods	n_subunits	subunit_ids	subunit_genes	n_ext_ppi_edges	n_ext_partners	n_ext_partners_pure	n_ext_partners_other_complex_subunit	go_ids	go_names	go_ontology	comment_complex	comment_disease
2124	CHUK-ESR1-NCOA3 complex	Human	15808510	MCF-7 cells	MI:0006:anti bait coimmunoprecipitation;MI:0402:chromatin immunoprecipitation assay	3	O15111;P03372;Q9Y6Q9	CHUK;ESR1;NCOA3	130	130	38	92	GO:0001558;GO:0003677;GO:0006355;GO:0006468;GO:0030520;GO:0032355;GO:0071391	regulation of cell growth;DNA binding;regulation of DNA-templated transcription;protein phosphorylation;estrogen receptor signaling pathway;response to estradiol;cellular response to estrogen stimulus	biological_process;molecular_function;biological_process;biological_process;biological_process;biological_process;biological_process	The authors showed that in estradiol-stimulated MCF7 cells, the association of both ER-alpha and AIB1/SRC-3 with IKK-alpha bound to the cyclin D1 promoter was markedly increased in an estrogen-dependent manner. Further siRNA experiments showed that IKK-alpha contributes to the estrogen-mediated phosphorylation of both ER-alpha and AIB1/SRC-3.	
2145	HSF1-YWHAE complex	Human	15364926		MI:0004:affinity chromatography technology;MI:0096:pull down	2	Q00613;P62258	HSF1;YWHAE	32	32	13	19	GO:0009408	response to heat	biological_process		
2152	ARNT-HLF complex	Human	9113979		MI:0019:coimmunoprecipitation	2	P27540;Q16534	ARNT;HLF	17	17	6	11	GO:0045893	positive regulation of DNA-templated transcription	biological_process		
2171	Ubiquitin E3 ligase (CHEK1, CUL4A)	Human	16137618		MI:0019:coimmunoprecipitation	2	O14757;Q13619	CHEK1;CUL4A	17	17	6	11	GO:0005634;GO:0006511;GO:0006974;GO:0016567;GO:0043161	nucleus;ubiquitin-dependent protein catabolic process;DNA damage response;protein ubiquitination;proteasome-mediated ubiquitin-dependent protein catabolic process	cellular_component;biological_process;biological_process;biological_process;biological_process	Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome. The Chk1 kinase is a major effector of S phase checkpoint signaling during the cellular response to genotoxic stress. Replicative stress induces the polyubiquitination and degradation of Chk1 in human cells.	
2233	Replication-coupled CAF-1-MBD1-ETDB1 complex	Human	15327775		MI:0006:anti bait coimmunoprecipitation;MI:0018:two hybrid	3	Q13111;Q9UIS9;Q15047	CHAF1A;MBD1;SETDB1	30	30	9	21	GO:0000084;GO:0005634;GO:0006260;GO:0006265;GO:0006479;GO:0010468;GO:0051276;GO:0071514	mitotic S phase;nucleus;DNA replication;DNA topological change;protein methylation;regulation of gene expression;chromosome organization;genomic imprinting	biological_process;cellular_component;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process	Formation of CAF-1-MBD1-SETDB1 complex occurs during S phase of cell cycle. This complex facilitates methylation of H3-K9 during replication-coupled chromatin assembly.	
2235	ASF1-interacting protein complex	Human	15664198		MI:0019:coimmunoprecipitation	6	Q9Y294;Q9NVP2;Q13111;Q13112;P68431;P54198	ASF1A;ASF1B;CHAF1A;CHAF1B;H3C1;HIRA	98	98	48	50	GO:0006260;GO:0006265;GO:0051276	DNA replication;DNA topological change;chromosome organization	biological_process;biological_process;biological_process	"Asf1 provides the cells with a buffering system for histone excess generated in response to stalled replication and explains how mammalian cells maintain a critical ""active"" histone pool available for deposition during recovery from replication stresses."	
2238	MBD1-MCAF1-SETDB1 complex	Human	15691849		MI:0019:coimmunoprecipitation	3	Q6VMQ6;Q9UIS9;Q15047	ATF7IP;MBD1;SETDB1	16	16	3	13	GO:0005634;GO:0006265;GO:0006479;GO:0010468;GO:0045892;GO:0051276;GO:0071514	nucleus;DNA topological change;protein methylation;regulation of gene expression;negative regulation of DNA-templated transcription;chromosome organization;genomic imprinting	cellular_component;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process	MCAF1 enhances transcriptional repression by MBD1 together with SETDB1.	
2593	FOXO3-SIRT1 complex, oxidative stress stimulated	Human	14976264	HEK293 cells	MI:0006:anti bait coimmunoprecipitation;MI:0007:anti tag coimmunoprecipitation	2	O43524;Q96EB6	FOXO3;SIRT1	51	51	15	36	GO:0000302;GO:0005634;GO:0006355;GO:0006979;GO:0043066;GO:2001141	response to reactive oxygen species;nucleus;regulation of DNA-templated transcription;response to oxidative stress;negative regulation of apoptotic process;regulation of RNA biosynthetic process	biological_process;cellular_component;biological_process;biological_process;biological_process;biological_process	SIRT1 and  transcription factor FOXO3 formed a complex in cells in response to oxidative stress, and SIRT1 deacetylated FOXO3 in vitro and within cells. SIRT1 increased FOXO3's ability to induce cell cycle arrest and resistance to oxidative stress but inhibited FOXO3's ability to induce cell death.	
2641	CREBBP-KAT2B-MYOD1 complex	Human	9659901	C2C12 myotube	MI:0019:coimmunoprecipitation	3	Q92793;Q92831;P15172	CREBBP;KAT2B;MYOD1	173	173	70	103	GO:0006351;GO:0007519	DNA-templated transcription;skeletal muscle tissue development	biological_process;biological_process		
2642	SMAD1-P300 complex	Human	10673036		MI:0007:anti tag coimmunoprecipitation;MI:0402:chromatin immunoprecipitation assay	2	Q09472;Q15797	EP300;SMAD1	145	145	59	86	GO:0005634;GO:0006265;GO:0006473;GO:0007179;GO:0045893;GO:0051276	nucleus;DNA topological change;protein acetylation;transforming growth factor beta receptor signaling pathway;positive regulation of DNA-templated transcription;chromosome organization	cellular_component;biological_process;biological_process;biological_process;biological_process;biological_process	SMAD1 stimulates transcription cooperatively with P300.	
2649	DNMT3A-MYC-ZBTB17 complex	Human	15616584	HeLa nuclear extract, U2OS cells	MI:0019:coimmunoprecipitation;MI:0059:gst pull down	3	Q9Y6K1;P01106;Q13105	DNMT3A;MYC;ZBTB17	92	92	19	73	GO:0003677;GO:0003886;GO:0006355;GO:2001141	DNA binding;DNA (cytosine-5-)-methyltransferase activity;regulation of DNA-templated transcription;regulation of RNA biosynthetic process	molecular_function;molecular_function;biological_process;biological_process	This complex is involved in a transcriptional silencing of p21Cip1 promoter. Myc represses transcription through recruitment of DNA methyltransferase corepressor (PMID: 15616584).	
2653	MYC-MAX-KAT2A-TRRAP complex	Human	10611234	293 cell lysates	MI:0019:coimmunoprecipitation	4	Q92830;P61244;P01106;Q9Y4A5	KAT2A;MAX;MYC;TRRAP	116	116	22	94	GO:0004402;GO:0006338;GO:0006351	histone acetyltransferase activity;chromatin remodeling;DNA-templated transcription	molecular_function;biological_process;biological_process		
2678	FOXO3-TP53 complex, oxidative stress stimulated	Human	14976264	HEK293 cells	MI:0019:coimmunoprecipitation	2	O43524;P04637	FOXO3;TP53	161	161	60	101	GO:0000302;GO:0005634;GO:0006355;GO:0006979;GO:2001141	response to reactive oxygen species;nucleus;regulation of DNA-templated transcription;response to oxidative stress;regulation of RNA biosynthetic process	biological_process;cellular_component;biological_process;biological_process;biological_process		
2679	p53-SP1 complex	Human	15674334		MI:0006:anti bait coimmunoprecipitation	2	P08047;P04637	SP1;TP53	215	215	83	132	GO:0003677;GO:0005634;GO:0006355;GO:2001141	DNA binding;nucleus;regulation of DNA-templated transcription;regulation of RNA biosynthetic process	molecular_function;cellular_component;biological_process;biological_process	"The authors provide evidence that p53 repressed the RECQ4 promoter by forming a complex with the transcription factor, SP1, and by regulating promoter occupancy of both itself and SP1 in concert with histone deacetylase 1 (HDAC1).
The formation of this complex is camptothecin-dependent."	
2692	SMAD3-SMAD4-cJun-cFos complex	Human	9732876		MI:0412:electrophoretic mobility supershift assay	4	P01100;P05412;P84022;Q13485	FOS;JUN;SMAD3;SMAD4	122	122	41	81	GO:0003677;GO:0005634;GO:0007179;GO:0045893	DNA binding;nucleus;transforming growth factor beta receptor signaling pathway;positive regulation of DNA-templated transcription	molecular_function;cellular_component;biological_process;biological_process		
