complex_id	complex_name	organism	pmid	cell_line	purification_methods	n_subunits	subunit_ids	subunit_genes	n_ext_ppi_edges	n_ext_partners	n_ext_partners_pure	n_ext_partners_other_complex_subunit	go_ids	go_names	go_ontology	comment_complex	comment_disease
1	BCL6-HDAC4 complex	Human	11929873	U2OS osteosarcoma-derived UTA-L cells	MI:0007:anti tag coimmunoprecipitation	2	P41182;P56524	BCL6;HDAC4	52	52	13	39	GO:0004407;GO:0005634;GO:0006265;GO:0030183;GO:0045892;GO:0051276	histone deacetylase activity;nucleus;DNA topological change;B cell differentiation;negative regulation of DNA-templated transcription;chromosome organization	molecular_function;cellular_component;biological_process;biological_process;biological_process;biological_process	Transcriptional repression by BCL6 is thought to be achieved in part by recruiting a repressor complex containing histone deacetylases.	
2	BCL6-HDAC5 complex	Human	11929873	U2OS osteosarcoma-derived UTA-L cells	MI:0007:anti tag coimmunoprecipitation	2	P41182;Q9UQL6	BCL6;HDAC5	42	42	11	31	GO:0004407;GO:0005634;GO:0006265;GO:0030183;GO:0045892;GO:0051276	histone deacetylase activity;nucleus;DNA topological change;B cell differentiation;negative regulation of DNA-templated transcription;chromosome organization	molecular_function;cellular_component;biological_process;biological_process;biological_process;biological_process	Transcriptional repression by BCL6 is thought to be achieved in part by recruiting a repressor complex containing histone deacetylases.	
3	BCL6-HDAC7 complex	Human	11929873	U2OS osteosarcoma-derived UTA-L cells	MI:0007:anti tag coimmunoprecipitation	2	P41182;Q8WUI4	BCL6;HDAC7	31	31	6	25	GO:0004407;GO:0005634;GO:0006265;GO:0030183;GO:0045892;GO:0051276	histone deacetylase activity;nucleus;DNA topological change;B cell differentiation;negative regulation of DNA-templated transcription;chromosome organization	molecular_function;cellular_component;biological_process;biological_process;biological_process;biological_process	Transcriptional repression by BCL6 is thought to be achieved in part by recruiting a repressor complex containing histone deacetylases.	
4	Multisubunit ACTR coactivator complex	Human	9267036	different human tissues and cancer cell lines	MI:0004:affinity chromatography technology;MI:0018:two hybrid;MI:0096:pull down	4	Q92793;Q09472;Q92831;Q9Y6Q9	CREBBP;EP300;KAT2B;NCOA3	235	235	100	135	GO:0004402;GO:0004879	histone acetyltransferase activity;nuclear receptor activity	molecular_function;molecular_function	Cofactor ACTR binds directly nuclear receptors and stimulates their transcriptional activities in a hormone-dependent fashion.	
61	Mi2/NuRD complex	Human	9790534	HeLa cells	MI:0004:affinity chromatography technology	7	Q14839;Q13547;Q92769;O95983;O94776;Q09028;Q16576	CHD4;HDAC1;HDAC2;MBD3;MTA2;RBBP4;RBBP7	208	208	78	130	GO:0005634;GO:0006265;GO:0006357;GO:0051276	nucleus;DNA topological change;regulation of transcription by RNA polymerase II;chromosome organization	cellular_component;biological_process;biological_process;biological_process		Dermatomyositis, cancer (PMID:9790534)
62	MeCP1 complex	Human	10444591	HeLa cells	MI:0096:pull down	8	Q14839;Q13547;Q92769;Q9UBB5;O95983;O94776;Q09028;Q16576	CHD4;HDAC1;HDAC2;MBD2;MBD3;MTA2;RBBP4;RBBP7	210	210	79	131	GO:0003677;GO:0004407;GO:0005634;GO:0006265;GO:0045892;GO:0051276	DNA binding;histone deacetylase activity;nucleus;DNA topological change;negative regulation of DNA-templated transcription;chromosome organization	molecular_function;molecular_function;cellular_component;biological_process;biological_process;biological_process	MeCP1 protein complex represses transcription through preferential binding, remodeling, and deacetylation of methylated nucleosomes.	CHD4 is involved in dermatomyositis (PMID:9790534).
100	hNURF complex	Human	14609955		MI:0071:molecular sieving;MI:0226:ion exchange chromatography	4	Q12830;Q09028;Q16576;P28370	BPTF;RBBP4;RBBP7;SMARCA1	73	73	24	49	GO:0005634;GO:0006265;GO:0006355;GO:0022008;GO:0030182;GO:0048699;GO:0051276;GO:2001141	nucleus;DNA topological change;regulation of DNA-templated transcription;neurogenesis;neuron differentiation;generation of neurons;chromosome organization;regulation of RNA biosynthetic process	cellular_component;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process	NURF is a member of the ISWI-containing chromatin remodeling complexes.	
115	Polycomb repressive complex 1 (PRC1, hPRC-H)	Human	12167701	HeLa cells	MI:0004:affinity chromatography technology;MI:0113:western blot	12	P35226;Q14781;O00257;Q9HC52;P0DMV8;P78364;Q8IXK0;Q8NDX5;Q06587;Q99496;Q96GD3;O60264	BMI1;CBX2;CBX4;CBX8;HSPA1A;PHC1;PHC2;PHC3;RING1;RNF2;SCMH1;SMARCA5	61	61	12	49	GO:0005634;GO:0006265;GO:0006479;GO:0018126;GO:0032774;GO:0045892;GO:0051276	nucleus;DNA topological change;protein methylation;protein hydroxylation;RNA biosynthetic process;negative regulation of DNA-templated transcription;chromosome organization	cellular_component;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process	Polycomb repressive complexes are required to maintain the transcriptionally repressive state of many genes, including Hox genes, throughout development. PcG PRC1 complex acts via chromatin remodeling and modification of histones. hPRC-H apparently represents not a single complex but rather a mixture of highly related complexes, here exemplified by the M33F and Bmi1F M2 eluates. The identified beta-tubulin may be a contaminant, it needs more characterization.	
116	Polycomb repressive complex 1 (PRC1, hPRC-H, YY1)	Human	12167701	HeLa cells	MI:0004:affinity chromatography technology;MI:0113:western blot	13	P35226;Q14781;O00257;Q9HC52;P0DMV8;P78364;Q8IXK0;Q8NDX5;Q06587;Q99496;Q96GD3;O60264;P25490	BMI1;CBX2;CBX4;CBX8;HSPA1A;PHC1;PHC2;PHC3;RING1;RNF2;SCMH1;SMARCA5;YY1	109	109	27	82	GO:0005634;GO:0006265;GO:0006479;GO:0018126;GO:0032774;GO:0045892;GO:0051276	nucleus;DNA topological change;protein methylation;protein hydroxylation;RNA biosynthetic process;negative regulation of DNA-templated transcription;chromosome organization	cellular_component;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process	Polycomb repressive complexes are required to maintain the transcriptionally repressive state of many genes, including Hox genes, throughout development. PcG PRC1 complex acts via chromatin remodeling and modification of histones. hPRC-H apparently represents not a single complex but rather a mixture of highly related complexes, here exemplified by the Hi-Trap S eluate. The identified beta-tubulin may be a contaminant, it needs more characterization.	
149	PBAF complex (Polybromo- and BAF containing complex)	Human	11078522	KB cells	MI:0004:affinity chromatography technology;MI:0019:coimmunoprecipitation	10	P60709;O96019;Q68CP9;Q86U86;P51532;Q12824;Q92922;Q8TAQ2;Q96GM5;Q969G3	ACTB;ACTL6A;ARID2;PBRM1;SMARCA4;SMARCB1;SMARCC1;SMARCC2;SMARCD1;SMARCE1	92	92	22	70	GO:0003677;GO:0005634;GO:0006338;GO:0006355	DNA binding;nucleus;chromatin remodeling;regulation of DNA-templated transcription	molecular_function;cellular_component;biological_process;biological_process		
201	HUIC complex	Human	11504724		MI:0029:cosedimentation through density gradient;MI:0226:ion exchange chromatography	2	Q99728;P38398	BARD1;BRCA1	71	71	16	55	GO:0000075;GO:0005634;GO:0051726	cell cycle checkpoint signaling;nucleus;regulation of cell cycle	biological_process;cellular_component;biological_process	The HUIC complex has been isolated after treating cells with hydroxyurea.	BRCA1 is involved in breast cancer.
234	HuCHRAC complex	Human	10880450		MI:0226:ion exchange chromatography	4	Q9NRL2;Q9NRG0;Q9NRF9;O60264	BAZ1A;CHRAC1;POLE3;SMARCA5	20	20	3	17	GO:0003677;GO:0005515;GO:0005524;GO:0005634;GO:0006265	DNA binding;protein binding;ATP binding;nucleus;DNA topological change	molecular_function;molecular_function;molecular_function;cellular_component;biological_process	HuCHRAC is a member of the ISWI-containing chromatin remodelling complexes. The polyclonal antibodies against ISWI do not discriminate between hSNF2L and hSNF2H.	
236	WICH complex	Human	11980720	HeLa cell nuclear extracts	MI:0096:pull down	2	Q9UIG0;O60264	BAZ1B;SMARCA5	23	23	5	18	GO:0003677;GO:0005515;GO:0005524;GO:0005694;GO:0006265	DNA binding;protein binding;ATP binding;chromosome;DNA topological change	molecular_function;molecular_function;molecular_function;cellular_component;biological_process	WICH is a member of the ISWI-containing chromatin remodelling complexes.	
238	SWI-SNF chromatin remodeling-related-BRCA1 complex	Human	10943845	HeLa cells	MI:0004:affinity chromatography technology;MI:0071:molecular sieving	10	O96019;O14497;P38398;P51531;P51532;Q12824;Q92922;Q8TAQ2;Q92925;Q969G3	ACTL6A;ARID1A;BRCA1;SMARCA2;SMARCA4;SMARCB1;SMARCC1;SMARCC2;SMARCD2;SMARCE1	138	138	36	102	GO:0005634;GO:0006265;GO:0006355;GO:0051276	nucleus;DNA topological change;regulation of DNA-templated transcription;chromosome organization	cellular_component;biological_process;biological_process;biological_process	BRCA1 interacts directly with BRG1.	BRCA1 gene is involved in breast and ovarian cancers.
283	SIN3 complex	Human	9651585	HeLa cells; 293T cells	MI:0004:affinity chromatography technology;MI:0019:coimmunoprecipitation;MI:0047:far western blotting	7	Q13547;Q92769;Q09028;Q16576;O00422;O75446;Q96ST3	HDAC1;HDAC2;RBBP4;RBBP7;SAP18;SAP30;SIN3A	231	231	89	142	GO:0006265;GO:0006473;GO:0006476;GO:0045892;GO:0051276	DNA topological change;protein acetylation;protein deacetylation;negative regulation of DNA-templated transcription;chromosome organization	biological_process;biological_process;biological_process;biological_process;biological_process		
299	CBP-IRF3 complex	Human	16154084	293T cells	MI:0019:coimmunoprecipitation;MI:0114:x-ray crystallography	2	Q92793;Q14653	CREBBP;IRF3	133	133	53	80	GO:0006355	regulation of DNA-templated transcription	biological_process	The crystal structure of IRF-3 in complex with CBP reveals that CBP interacts with a hydrophobic surface on IRF-3, which in latent IRF-3 is covered by its autoinhibitory elements.	
302	INO80 chromatin remodeling complex	Human	16230350		MI:0007:anti tag coimmunoprecipitation	13	O96019;Q9H9F9;Q9H981;Q9ULG1;Q9C086;Q6PI98;Q53TQ3;Q8NBZ0;Q96EZ8;Q6P4R8;Q9Y265;Q9Y230;P15923	ACTL6A;ACTR5;ACTR8;INO80;INO80B;INO80C;INO80D;INO80E;MCRS1;NFRKB;RUVBL1;RUVBL2;TCF3	75	75	26	49	GO:0003677;GO:0005524;GO:0005694;GO:0006265;GO:0051276	DNA binding;ATP binding;chromosome;DNA topological change;chromosome organization	molecular_function;molecular_function;cellular_component;biological_process;biological_process	INO80 complex exhibits DNA- and nucleosome-activated ATPase activity and catalyzes ATP-dependent nucleosome sliding.	
391	Ubiquitin E3 ligase (DDB1, CUL4A, RBX1)	Human	16964240	HEK293T cells	MI:0676:tandem affinity purification	3	Q13619;Q16531;P62877	CUL4A;DDB1;RBX1	36	36	13	23	GO:0005515;GO:0006511;GO:0006974;GO:0016567;GO:0019048;GO:0045087;GO:0051607	protein binding;ubiquitin-dependent protein catabolic process;DNA damage response;protein ubiquitination;modulation by virus of host process;innate immune response;defense response to virus	molecular_function;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process	Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome (PMID: 16964240). Viruses have evolved several strategies to evade the immune system of the host. Hepatitis B virus X protein, like paramyxovirus SV5-V protein, hijack the CUL4-DDB1 E3 ubiquitin ligase complex to promote polyubiquitination and rapid turnover of STAT proteins, thereby blocking the antiviral response of the host cells (PMID:19966799, PMID:10559305).	
462	TFTC complex (TATA-binding protein-free TAF-II-containing complex)	Human	9603525	HeLa cells	MI:0004:affinity chromatography technology;MI:0006:anti bait coimmunoprecipitation;MI:0071:molecular sieving	16	O15265;Q92830;Q15393;O75486;O75528;Q12962;Q16514;Q6P1X5;O00268;Q15542;O75529;P49848;Q9Y6J9;Q15545;Q16594;Q9Y4A5	ATXN7;KAT2A;SF3B3;SUPT3H;TADA3;TAF10;TAF12;TAF2;TAF4;TAF5;TAF5L;TAF6;TAF6L;TAF7;TAF9;TRRAP	82	82	24	58	GO:0004402;GO:0005634;GO:0006265;GO:0006352;GO:0045893;GO:0051276	histone acetyltransferase activity;nucleus;DNA topological change;DNA-templated transcription initiation;positive regulation of DNA-templated transcription;chromosome organization	molecular_function;cellular_component;biological_process;biological_process;biological_process;biological_process	TFTC complex can replace TFIID in vitro, indicating that multiple preinitiation complexes may play an important role in regulating gene expression.	
471	PCAF complex	Human	9674425	HeLa cells	MI:0004:affinity chromatography technology;MI:0006:anti bait coimmunoprecipitation	10	Q92831;O75486;O75478;O75528;Q12962;Q16514;O75529;Q9Y6J9;Q16594;Q9Y4A5	KAT2B;SUPT3H;TADA2A;TADA3;TAF10;TAF12;TAF5L;TAF6L;TAF9;TRRAP	106	106	32	74	GO:0005634;GO:0006265;GO:0006351;GO:0006355;GO:0006473;GO:0051276;GO:2001141	nucleus;DNA topological change;DNA-templated transcription;regulation of DNA-templated transcription;protein acetylation;chromosome organization;regulation of RNA biosynthetic process	cellular_component;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process		
475	STAGA complex	Human	11564863		MI:0004:affinity chromatography technology;MI:0007:anti tag coimmunoprecipitation	12	Q92830;Q15393;O75486;O94864;Q96BN2;O75528;Q12962;Q16514;O75529;Q9Y6J9;Q16594;Q9Y4A5	KAT2A;SF3B3;SUPT3H;SUPT7L;TADA1;TADA3;TAF10;TAF12;TAF5L;TAF6L;TAF9;TRRAP	75	75	20	55	GO:0004402;GO:0005634;GO:0006265;GO:0006974;GO:0045893;GO:0051276	histone acetyltransferase activity;nucleus;DNA topological change;DNA damage response;positive regulation of DNA-templated transcription;chromosome organization	molecular_function;cellular_component;biological_process;biological_process;biological_process;biological_process		
476	STAGA complex	Human	15115762		MI:0006:anti bait coimmunoprecipitation	13	O15265;Q92830;Q15393;O75486;O94864;Q96BN2;O75528;Q12962;Q16514;O75529;Q9Y6J9;Q16594;Q9Y4A5	ATXN7;KAT2A;SF3B3;SUPT3H;SUPT7L;TADA1;TADA3;TAF10;TAF12;TAF5L;TAF6L;TAF9;TRRAP	75	75	21	54	GO:0004402;GO:0005634;GO:0006265;GO:0006974;GO:0045893;GO:0051276	histone acetyltransferase activity;nucleus;DNA topological change;DNA damage response;positive regulation of DNA-templated transcription;chromosome organization	molecular_function;cellular_component;biological_process;biological_process;biological_process;biological_process	This complex is a coactivator required for transcription of a subset of RNA polymerase II-dependent genes.	
478	STAGA core complex	Human	9726987		MI:0007:anti tag coimmunoprecipitation	3	Q92830;O75486;Q16594	KAT2A;SUPT3H;TAF9	52	52	15	37	GO:0004402;GO:0005634;GO:0006265;GO:0045893;GO:0051276	histone acetyltransferase activity;nucleus;DNA topological change;positive regulation of DNA-templated transcription;chromosome organization	molecular_function;cellular_component;biological_process;biological_process;biological_process		
497	TAF4-TAF12 subcomplex of TFIID complex	Human	12237304		MI:0004:affinity chromatography technology;MI:0114:x-ray crystallography	2	Q16514;O00268	TAF12;TAF4	31	31	3	28	GO:0005515;GO:0005634;GO:0006352;GO:0006355;GO:2001141	protein binding;nucleus;DNA-templated transcription initiation;regulation of DNA-templated transcription;regulation of RNA biosynthetic process	molecular_function;cellular_component;biological_process;biological_process;biological_process	TAF12 forms a histone-like heterodimer with TAF4, rather than homodimerizing as suggested earlier (PMID:8598932).	
513	TFTC complex (TATA-binding protein-free TAF-II-containing complex)	Human	15899866		MI:0004:affinity chromatography technology;MI:0006:anti bait coimmunoprecipitation;MI:0071:molecular sieving	17	O15265;Q92830;Q15393;O75486;O75528;Q12962;Q16514;Q6P1X5;O00268;Q15542;O75529;P49848;Q9Y6J9;Q15545;Q16594;Q9HBM6;Q9Y4A5	ATXN7;KAT2A;SF3B3;SUPT3H;TADA3;TAF10;TAF12;TAF2;TAF4;TAF5;TAF5L;TAF6;TAF6L;TAF7;TAF9;TAF9B;TRRAP	81	81	24	57	GO:0005634;GO:0006265;GO:0006352;GO:0006473;GO:0045893;GO:0051276	nucleus;DNA topological change;DNA-templated transcription initiation;protein acetylation;positive regulation of DNA-templated transcription;chromosome organization	cellular_component;biological_process;biological_process;biological_process;biological_process;biological_process	Gene expression profiling revealed that Taf9 and Taf9b control the expression of different sets of genes.	
525	TIP60 histone acetylase complex	Human	10966108	HeLa cells	MI:0007:anti tag coimmunoprecipitation;MI:0029:cosedimentation through density gradient	5	O96019;Q92993;Q9Y265;Q9Y230;Q9Y4A5	ACTL6A;KAT5;RUVBL1;RUVBL2;TRRAP	86	86	15	71	GO:0003677;GO:0006281;GO:0006915	DNA binding;DNA repair;apoptotic process	molecular_function;biological_process;biological_process	The TIP60 histone acetylase complex plays a role in DNA repair and apoptosis.	
528	NuA4/Tip60-HAT complex	Human	12963728		MI:0004:affinity chromatography technology	15	O96019;Q9H0E9;Q9NPF5;Q96L91;Q9H2F5;Q9NXR8;Q92993;Q9HAF1;Q9UBU8;Q15014;Q9NV56;Q9Y265;Q9Y230;Q9Y4A5;O95619	ACTL6A;BRD8;DMAP1;EP400;EPC1;ING3;KAT5;MEAF6;MORF4L1;MORF4L2;MRGBP;RUVBL1;RUVBL2;TRRAP;YEATS4	96	96	19	77	GO:0003677;GO:0004402;GO:0005634;GO:0006265;GO:0006281;GO:0051276	DNA binding;histone acetyltransferase activity;nucleus;DNA topological change;DNA repair;chromosome organization	molecular_function;molecular_function;cellular_component;biological_process;biological_process;biological_process	The NuA4 histone acetyltransferase (HAT) multisubunit complex is responsible for acetylation of histone H4 and H2A N-terminal tails in yeast. The NuA4/Tip60 HAT complex is highly conserved in eukaryotes playing primary roles in transcription, cellular response to DNA damage, and cell cycle control.	
529	NuA4/Tip60-HAT complex	Human	15647280		MI:0007:anti tag coimmunoprecipitation	16	O96019;Q9H0E9;Q9NPF5;Q96L91;Q9H2F5;Q9NXR8;Q92993;Q9HAF1;Q9UBU8;Q15014;Q9NV56;Q9Y265;Q9Y230;Q9Y4A5;Q15906;O95619	ACTL6A;BRD8;DMAP1;EP400;EPC1;ING3;KAT5;MEAF6;MORF4L1;MORF4L2;MRGBP;RUVBL1;RUVBL2;TRRAP;VPS72;YEATS4	98	98	22	76	GO:0003677;GO:0004402;GO:0005634;GO:0006265;GO:0006281;GO:0051276	DNA binding;histone acetyltransferase activity;nucleus;DNA topological change;DNA repair;chromosome organization	molecular_function;molecular_function;cellular_component;biological_process;biological_process;biological_process	The NuA4 histone acetyltransferase (HAT) multisubunit complex is responsible for acetylation of histone H4 and H2A N-terminal tails in yeast. The NuA4/Tip60 HAT complex is highly conserved in eukaryotes playing primary roles in transcription, cellular response to DNA damage, and cell cycle control.	
554	PBAF complex	Human	11780067	HeLa cells	MI:0226:ion exchange chromatography	10	O96019;Q68CP9;Q86U86;P51532;Q12824;Q92922;Q8TAQ2;Q96GM5;Q92925;Q969G3	ACTL6A;ARID2;PBRM1;SMARCA4;SMARCB1;SMARCC1;SMARCC2;SMARCD1;SMARCD2;SMARCE1	86	86	20	66	GO:0003677;GO:0005634;GO:0006265;GO:0009755;GO:0045893;GO:0051276	DNA binding;nucleus;DNA topological change;hormone-mediated signaling pathway;positive regulation of DNA-templated transcription;chromosome organization	molecular_function;cellular_component;biological_process;biological_process;biological_process;biological_process	The chromatin-remodeling complex PBAF facilitates gene activation by assisting transcription machinery to gain access to targets on the chromosome.The authors mentioned actin and beta-tubulin as additional members of the PBAF complex.	
555	BAF complex	Human	11780067		MI:0226:ion exchange chromatography	9	O96019;O14497;P51532;Q12824;Q92922;Q8TAQ2;Q96GM5;Q92925;Q969G3	ACTL6A;ARID1A;SMARCA4;SMARCB1;SMARCC1;SMARCC2;SMARCD1;SMARCD2;SMARCE1	89	89	20	69	GO:0003677;GO:0005694;GO:0006265;GO:0045893;GO:0051276	DNA binding;chromosome;DNA topological change;positive regulation of DNA-templated transcription;chromosome organization	molecular_function;cellular_component;biological_process;biological_process;biological_process		
556	PBAF complex, BAF200-specific	Human	15985610	HCC1143 cells	MI:0007:anti tag coimmunoprecipitation;MI:0071:molecular sieving	8	O96019;Q68CP9;P51532;Q12824;Q92922;Q8TAQ2;Q96GM5;Q969G3	ACTL6A;ARID2;SMARCA4;SMARCB1;SMARCC1;SMARCC2;SMARCD1;SMARCE1	88	88	20	68	GO:0003677;GO:0005634;GO:0005694;GO:0006265;GO:0009755;GO:0045893;GO:0051276	DNA binding;nucleus;chromosome;DNA topological change;hormone-mediated signaling pathway;positive regulation of DNA-templated transcription;chromosome organization	molecular_function;cellular_component;cellular_component;biological_process;biological_process;biological_process;biological_process	BAF200 forms a complex in the absence of BAF180 in HCC1143 cells. This PBAF compex has all the components as the PBAF from HeLa cells it lacks BAF180. Instead, it contains a novel, up to now uncharacterized polypeptide with similar molecular weight as BAF180.	
566	BAF complex	Human	9845365		MI:0006:anti bait coimmunoprecipitation	9	P60709;O96019;O14497;P51532;Q12824;Q92922;Q8TAQ2;Q96GM5;Q969G3	ACTB;ACTL6A;ARID1A;SMARCA4;SMARCB1;SMARCC1;SMARCC2;SMARCD1;SMARCE1	95	95	22	73	GO:0003677;GO:0005634;GO:0006265;GO:0045893;GO:0051276	DNA binding;nucleus;DNA topological change;positive regulation of DNA-templated transcription;chromosome organization	molecular_function;cellular_component;biological_process;biological_process;biological_process	Beta-actin and BAF53 directly interact with BRG1 in the BAF complex. The actin subunit is required for optimal ATPase activity of BRG1.	
570	p300-CBP-p270-SWI/SNF complex	Human	9584200		MI:0006:anti bait coimmunoprecipitation	7	O14497;Q92793;Q09472;P51532;Q12824;Q92922;Q8TAQ2	ARID1A;CREBBP;EP300;SMARCA4;SMARCB1;SMARCC1;SMARCC2	256	256	103	153	GO:0003677;GO:0005694;GO:0006265;GO:0006473;GO:0045893;GO:0051276	DNA binding;chromosome;DNA topological change;protein acetylation;positive regulation of DNA-templated transcription;chromosome organization	molecular_function;cellular_component;biological_process;biological_process;biological_process;biological_process		
571	p300-CBP-p270 complex	Human	8995708		MI:0006:anti bait coimmunoprecipitation	3	O14497;Q92793;Q09472	ARID1A;CREBBP;EP300	222	222	93	129	GO:0003677;GO:0005634;GO:0045893	DNA binding;nucleus;positive regulation of DNA-templated transcription	molecular_function;cellular_component;biological_process		
585	Mi2/NuRD-BCL6-MTA3 complex	Human	15454082		MI:0006:anti bait coimmunoprecipitation	5	P41182;Q14839;Q13547;O95983;Q9BTC8	BCL6;CHD4;HDAC1;MBD3;MTA3	178	178	63	115	GO:0005634;GO:0006265;GO:0006476;GO:0030183;GO:0045892;GO:0051276	nucleus;DNA topological change;protein deacetylation;B cell differentiation;negative regulation of DNA-templated transcription;chromosome organization	cellular_component;biological_process;biological_process;biological_process;biological_process;biological_process		
587	NuRD.1 complex	Human	9885572	KB cell line	MI:0004:affinity chromatography technology;MI:0091:chromatography technology	7	Q14839;Q13547;Q92769;O95983;Q13330;Q09028;Q16576	CHD4;HDAC1;HDAC2;MBD3;MTA1;RBBP4;RBBP7	210	210	79	131	GO:0004407;GO:0005634;GO:0006265;GO:0006476;GO:0009755;GO:0023052;GO:0045892;GO:0051276	histone deacetylase activity;nucleus;DNA topological change;protein deacetylation;hormone-mediated signaling pathway;signaling;negative regulation of DNA-templated transcription;chromosome organization	molecular_function;cellular_component;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process		
591	SAP complex (Sin3-associated protein complex)	Human	9885572		MI:0004:affinity chromatography technology	8	Q4LE39;Q13547;Q92769;Q09028;Q16576;Q9H0E3;O75446;Q96ST3	ARID4B;HDAC1;HDAC2;RBBP4;RBBP7;SAP130;SAP30;SIN3A	227	227	86	141	GO:0005634;GO:0006265;GO:0006476;GO:0045892;GO:0051276	nucleus;DNA topological change;protein deacetylation;negative regulation of DNA-templated transcription;chromosome organization	cellular_component;biological_process;biological_process;biological_process;biological_process		
592	mSin3A corepressor complex	Human	12724404	K562 erythroleukemia cells	MI:0004:affinity chromatography technology;MI:0006:anti bait coimmunoprecipitation;MI:0091:chromatography technology	9	Q4LE39;Q13547;Q92769;Q09028;Q16576;Q9H0E3;O75446;Q96ST3;Q9H7L9	ARID4B;HDAC1;HDAC2;RBBP4;RBBP7;SAP130;SAP30;SIN3A;SUDS3	227	227	87	140	GO:0004407;GO:0005634;GO:0006265;GO:0006476;GO:0045892;GO:0051276	histone deacetylase activity;nucleus;DNA topological change;protein deacetylation;negative regulation of DNA-templated transcription;chromosome organization	molecular_function;cellular_component;biological_process;biological_process;biological_process;biological_process	Three new mSin3A-associated proteins (SAP): SAP180, SAP130, and SAP45 have been identified during the purification of the complex in K562 erythroleukemia cells. Each new SAP is able to repress transcription when tethered to DNA.	
610	MSL complex	Human	16227571	K562 cells	MI:0019:coimmunoprecipitation	4	Q7Z3B3;Q9H7Z6;Q9HCI7;Q8N5Y2	KANSL1;KAT8;MSL2;MSL3	17	17	4	13	GO:0005634;GO:0006265;GO:0006473;GO:0006476	nucleus;DNA topological change;protein acetylation;protein deacetylation	cellular_component;biological_process;biological_process;biological_process	The authors found that reduction in the levels of hMSLs and acetylation of H4 at lysine 16 are correlated with reduced transcription of some genes and with a G2/M cell cycle arrest.	
614	NRD complex (Nucleosome remodeling and deacetylation complex)	Human	9804427		MI:0006:anti bait coimmunoprecipitation	7	Q12873;Q14839;Q13547;Q92769;O60341;Q13330;Q09028	CHD3;CHD4;HDAC1;HDAC2;KDM1A;MTA1;RBBP4	231	231	90	141	GO:0005634;GO:0006265;GO:0006355;GO:0006476;GO:0051276;GO:2001141	nucleus;DNA topological change;regulation of DNA-templated transcription;protein deacetylation;chromosome organization;regulation of RNA biosynthetic process	cellular_component;biological_process;biological_process;biological_process;biological_process;biological_process		
620	CoREST-HDAC complex	Human	11171972	HeLa cells	MI:0006:anti bait coimmunoprecipitation	7	Q13547;Q92769;Q9P0W2;O60341;Q96BD5;Q9UKL0;O75362	HDAC1;HDAC2;HMG20B;KDM1A;PHF21A;RCOR1;ZNF217	195	195	73	122	GO:0005634;GO:0006265;GO:0006476;GO:0019048;GO:0045892;GO:0051276;GO:0051607	nucleus;DNA topological change;protein deacetylation;modulation by virus of host process;negative regulation of DNA-templated transcription;chromosome organization;defense response to virus	cellular_component;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process	Herpes simplex virus (HSV)-1 protein ICP0 binds to CoREST and disrupts the binding of HDAC1 to the CoREST-REST complex to block CoREST-mediated silencing of viral genes (PMID:15897453).	
624	LSD1-CoREST complex	Human	16885027	in vitro	MI:0114:x-ray crystallography	2	O60341;Q9UKL0	KDM1A;RCOR1	51	51	20	31	GO:0005634;GO:0006265;GO:0032452;GO:0045892;GO:0051276	nucleus;DNA topological change;histone demethylase activity;negative regulation of DNA-templated transcription;chromosome organization	cellular_component;biological_process;molecular_function;biological_process;biological_process	CoREST endows LSD1 with the ability to demethylate nucleosomal substrates and protects LSD1 from proteasomal degradation in vivo.	
632	Anti-HDAC2 complex	Human	12493763		MI:0006:anti bait coimmunoprecipitation;MI:0091:chromatography technology	17	Q12873;Q14839;Q14687;P78347;Q13547;Q92769;Q9P0W2;O60341;Q13330;O94776;Q96BD5;Q09028;Q16576;Q9UKL0;Q96ST3;Q9UBW7;Q14202	CHD3;CHD4;GSE1;GTF2I;HDAC1;HDAC2;HMG20B;KDM1A;MTA1;MTA2;PHF21A;RBBP4;RBBP7;RCOR1;SIN3A;ZMYM2;ZMYM3	262	262	105	157	GO:0005634;GO:0006265;GO:0006476;GO:0045892;GO:0051276	nucleus;DNA topological change;protein deacetylation;negative regulation of DNA-templated transcription;chromosome organization	cellular_component;biological_process;biological_process;biological_process;biological_process		XFIM (ZMYM3) is involved in X-linked mental retardation.
